Event	ID	Name			Wwise Object Path	Notes
	784302017	Play_damage			\Default Work Unit\Play_damage	
	1519321238	Play_attack			\Default Work Unit\Play_attack	
	1821282047	Play_random_foley			\Default Work Unit\Play_random_foley	
	2291232698	Play_Staff_Hit			\Default Work Unit\Play_Staff_Hit	
	2538959999	Play_FTS			\Default Work Unit\Play_FTS	
	3689126666	Play_jump			\Default Work Unit\Play_jump	
	3707491759	Play_Staff_Swing			\Default Work Unit\Play_Staff_Swing	
	3948925255	Play_Splash			\Default Work Unit\Play_Splash	
	4285282925	Play_land			\Default Work Unit\Play_land	

Switch Group	ID	Name			Wwise Object Path	Notes
	354267144	Terrain			\Default Work Unit\Terrain	

Switch	ID	Name	Switch Group			Notes
	2058049674	Wood	Terrain			
	2185786256	Gravel	Terrain			
	2195636714	Dirt	Terrain			
	2473969246	Metal	Terrain			
	2654748154	Water	Terrain			
	4248645337	Grass	Terrain			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	7806497	KS_Battle Efforts 2_1-003	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\0E\{0E4C61B8-E99B-1F78-A4CD-81082B476392}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Efforts\attack\KS_Battle Efforts 2_1-003		48960
	15333151	KS_Basic Cloth_Bag_1-022	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\2E\{2EBFD0B3-BE14-26BA-2B84-A167A9AA9289}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\bag\KS_Basic Cloth_Bag_1-022		340064
	21572221	KS_Basic Cloth_Jacket_1-017	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\79\{79646E77-8A95-E782-3E0D-6D86E36DA3ED}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\cloth\KS_Basic Cloth_Jacket_1-017		147552
	38341083	KS_Basic Cloth_Bag_1-009	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\B1\{B1484272-DECE-E790-8B8D-D0130C5559D6}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\bag\KS_Basic Cloth_Bag_1-009		239712
	55296451	KS_Basic Cloth_Keys_1-008	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\47\{47DD83AB-AFCA-091E-CC37-5AA2487113DF}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\jangle\KS_Basic Cloth_Keys_1-008		249952
	57663471	KS_Basic Cloth_Keys_1-001	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\EC\{EC098F6E-65C9-A689-2922-AEA7A7CFFAFC}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\jangle\KS_Basic Cloth_Keys_1-001		567892
	59729846	KS_Battle Efforts 2_1-001	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\C8\{C80AFEB8-E185-DA32-52DE-E0D53F2A3D88}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Efforts\attack\KS_Battle Efforts 2_1-001		135220
	62011726	KS_Battle Efforts 2_1-008	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\64\{64946ED8-DCDF-91B7-8DCA-B8AE661C3D55}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Efforts\attack\KS_Battle Efforts 2_1-008		55616
	64924785	KS_Basic Cloth_Jacket_1-008	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\D7\{D702B7A8-9F03-A577-25BA-C1936908610B}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\cloth\KS_Basic Cloth_Jacket_1-008		249952
	67039561	KS_Basic Cloth_Bag_1-001	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\03\{0368284E-DDBF-57AE-9E20-344EA2CF7C03}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\bag\KS_Basic Cloth_Bag_1-001		567892
	70820372	KS_Basic Cloth_Bag_1-006	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\09\{09E65EE2-FB91-8995-AD45-FF69D09D3A59}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\bag\KS_Basic Cloth_Bag_1-006		335968
	76696494	Footsteps, Human, Boots, Cobblestone, Walk, Close SND125736 15	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\1C\{1C79BB69-EBBD-5AD5-AE48-33E2CDF7EB8E}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Footsteps\FTS\Wood\Footsteps, Human, Boots, Cobblestone, Walk, Close SND125736 15		31062
	88149426	Footsteps, Human, Boots, Cobblestone, Walk, Close SND125736 14	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\09\{097ECA0C-8AA1-C461-D177-902B6499036C}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Footsteps\FTS\Wood\Footsteps, Human, Boots, Cobblestone, Walk, Close SND125736 14		32538
	97969153	KS_Basic Cloth_Jacket_1-011	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\71\{71E1E83D-AC84-64A0-1BB4-FD97D7063BAD}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\cloth\KS_Basic Cloth_Jacket_1-011		159840
	102997657	KS_Basic Cloth_Keys_1-007	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\56\{56FF7BF8-2110-FACA-DD6B-85C56063243D}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\jangle\KS_Basic Cloth_Keys_1-007		239712
	125370232	KS_Basic Cloth_Keys_1-017	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\A1\{A1C36C9C-9ECB-5108-4F2A-65DF1345175B}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\jangle\KS_Basic Cloth_Keys_1-017		147552
	127517377	HC_character_effort_land_down_2ch_15_04_26-003	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\D0\{D0745ADB-297C-DC5B-B4A9-8C59BB964FE4}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Efforts\land\HC_character_effort_land_down_2ch_15_04_26-003		297664
	134462143	Footsteps, Human, Boots, Cobblestone, Walk, Close SND125736 13	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\8B\{8B4B7791-5153-74E3-105B-BF5795551DE1}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Footsteps\FTS\Wood\Footsteps, Human, Boots, Cobblestone, Walk, Close SND125736 13		34012
	137766471	Water, Impact, Plastic Chair Throw In Sink, Bubbles SND31548	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\7B\{7B90450C-7548-8AB8-1822-F9DCA1980D39}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Splash\Splash\Splah_Blend\Water, Impact, Plastic Chair Throw In Sink, Bubbles SND31548		326752
	139817009	KS_Basic Cloth_Keys_1-006	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\82\{82F9E6F2-6836-D0E8-1B14-D23876DBB45A}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\jangle\KS_Basic Cloth_Keys_1-006		335968
	143726063	KS_Basic Cloth_Leather_1-004	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\42\{4247E56D-CE05-A85B-BA00-CD86ACD0351F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\leather\KS_Basic Cloth_Leather_1-004		170080
	144919740	Water, Movement, Steps, Wading, Woman Swimming, Dip, Reaction In Danish, Spring, Some Birds SND114989	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\E5\{E56ADB4E-49B9-E6B0-1835-E341A6A3F7A9}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Footsteps\FTS\Dirt\dirst and water\Water, Movement, Steps, Wading, Woman Swimming, Dip, Reaction In Danish, Spring, Some Birds SND114989		65364
	145015121	KS_Basic Cloth_Bag_1-004	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\B2\{B239EC06-6025-6ACC-56F3-1775E3D8E2B3}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\bag\KS_Basic Cloth_Bag_1-004		170080
	148415643	KS_Basic Cloth_Bag_1-020	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\BD\{BD4960AC-AAC6-A0EA-BC6F-B9910C43D451}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\bag\KS_Basic Cloth_Bag_1-020		198752
	152294575	KS_Basic Cloth_Keys_1-015	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\8B\{8B9F0D03-BBE4-A419-6FE3-67E13C8F5358}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foley\random foley\blend\jangle\KS_Basic Cloth_Keys_1-015		153696
	175533264	HC_character_effort_jump_up_2ch_15_04_26-003	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\15\{15CE8997-D446-FE2D-A37A-144AED640D28}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Efforts\jump\HC_character_effort_jump_up_2ch_15_04_26-003		392860
	191541877	HC_character_effort_jump_up_2ch_15_04_26-002	Y:\Projects\GitHub\Ubisoft\Ubisoft_WwiseProject\.cache\10\{10EC207F-19EF-B9B8-837C-2903D7871690}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Efforts\jump\HC_character_effort_jump_up_2ch_15_04_26-002		169812
